constellation,number_of_satellites,total_area_earth_km_sq,elevation_angle,altitude_km,satellite_centric_angle,earth_central_angle,signal_path_km,coverage_area_per_sat_sqkm,dl_frequency_hz,dl_bandwidth_hz,power_dbw,receiver_gain_db,earth_atmospheric_losses_db,all_other_losses_db,subscribers_low,subscribers_baseline,subscribers_high,subscriber_traffic_percent,satellite_coverage_area_km,percent_coverage,path_loss_db,losses_db,antenna_gain_db,eirp_db,noise_db,received_power_db,cnr_db,spectral_efficiency_bphz,channel_capacity_mbps,capacity_per_single_satellite_mbps,constellation_capacity_mbps,cnr_scenario
Starlink,4425,510000000,26,548,55.861102339770255,8.138897660229745,1090.9472,2574390.4212,11621032232,250000000.0,30,27,8,0.53,2500000,3500000,4500000,20,115254.2373,67,174.501,8.53,32.0696,62.0696,-89.9978,-93.9614,-3.9636,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,33,546,50.58218992678083,6.417810073219172,922.8292,1601744.4662,12103321570,250000000.0,30,27,18,0.53,2500000,3500000,4500000,20,115254.2373,67,173.4005,18.53,32.4541,62.4541,-89.9978,-102.4764,-12.4786,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,32,540,51.430438617223885,6.569561382776115,933.3011,1678303.6091,12301049331,250000000.0,30,27,15,0.53,2500000,3500000,4500000,20,115254.2373,67,173.6393,15.53,32.9961,62.9961,-89.9978,-99.1732,-9.1754,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,36,548,48.159599827005316,5.840400172994691,871.149,1326730.6665,11519492612,250000000.0,30,31,10,0.53,2500000,3500000,4500000,20,115254.2373,67,172.4705,10.53,31.9867,61.9867,-89.9978,-90.0138,-0.016,0.567805,141.9512,6813.66,20200791.3696,low
Starlink,4425,510000000,34,549,49.75883794596861,6.241162054031392,908.3529,1514869.032,12121304153,250000000.0,30,29,16,0.53,2500000,3500000,4500000,20,115254.2373,67,173.2761,16.53,32.7716,62.7716,-89.9978,-98.0345,-8.0367,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,39,542,45.74795313795363,5.25204686204637,815.0816,1073066.6618,12017109320,250000000.0,30,27,2,0.53,2500000,3500000,4500000,20,115254.2373,67,172.26,2.53,32.0929,62.0929,-89.9978,-85.6971,4.3007,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,34,542,49.82737075346825,6.172629246531756,897.5094,1481814.821,11851792474,250000000.0,30,30,12,0.53,2500000,3500000,4500000,20,115254.2373,67,172.9765,12.53,32.4678,62.4678,-89.9978,-93.0387,-3.0409,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,38,546,46.54137451068585,5.458625489314159,835.8501,1159075.4808,11709261423,250000000.0,30,32,18,0.53,2500000,3500000,4500000,20,115254.2373,67,172.2532,18.53,31.77,61.77,-89.9978,-97.0132,-7.0154,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,38,542,46.57633637031889,5.423663629681101,830.0328,1144286.5956,11211904283,250000000.0,30,27,17,0.53,2500000,3500000,4500000,20,115254.2373,67,171.8155,17.53,31.5695,61.5695,-89.9978,-100.776,-10.7782,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,27,548,55.135696289518634,7.864303710481366,1063.5912,2403877.0503,11845647591,250000000.0,30,29,14,0.53,2500000,3500000,4500000,20,115254.2373,67,174.4467,14.53,32.354,62.354,-89.9978,-97.6227,-7.6249,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,29,544,53.69565083434921,7.304349165650791,1006.2229,2074189.4184,10942484617,250000000.0,30,34,7,0.53,2500000,3500000,4500000,20,115254.2373,67,173.2762,7.53,32.1039,62.1039,-89.9978,-84.7023,5.2955,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,36,542,48.21511337749378,5.784886622506221,862.1494,1301650.4615,11630357560,250000000.0,30,34,9,0.53,2500000,3500000,4500000,20,115254.2373,67,172.4635,9.53,32.3193,62.3193,-89.9978,-85.6742,4.3236,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,30,541,52.969064050224894,7.030935949775113,977.9411,1922006.5711,12557321216,250000000.0,30,31,16,0.53,2500000,3500000,4500000,20,115254.2373,67,174.2242,16.53,32.5556,62.5556,-89.9978,-97.1986,-7.2008,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,30,549,52.881439579942146,7.118560420057861,991.2112,1970149.8678,12369693001,250000000.0,30,34,13,0.53,2500000,3500000,4500000,20,115254.2373,67,174.2105,13.53,32.4551,62.4551,-89.9978,-91.2854,-1.2876,0.567805,141.9512,6813.66,20200791.3696,low
Starlink,4425,510000000,25,542,56.649424490653615,8.350575509346385,1108.8825,2709801.9861,11870057660,250000000.0,30,32,12,0.53,2500000,3500000,4500000,20,115254.2373,67,174.8268,12.53,31.9945,61.9945,-89.9978,-93.3623,-3.3645,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,39,543,45.73945623236277,5.26054376763723,816.5145,1076539.1025,11569285290,250000000.0,30,33,17,0.53,2500000,3500000,4500000,20,115254.2373,67,171.9454,17.53,32.2655,62.2655,-89.9978,-94.2099,-4.2121,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,33,542,50.6225013067674,6.37749869323261,916.527,1581706.7036,11816927060,250000000.0,30,34,4,0.53,2500000,3500000,4500000,20,115254.2373,67,173.133,4.53,31.8618,61.8618,-89.9978,-81.8012,8.1966,2.062148,515.537,24745.776,73365039.396,high
Starlink,4425,510000000,39,549,45.68855338911148,5.31144661088851,825.1076,1097458.8367,12628415327,250000000.0,30,29,15,0.53,2500000,3500000,4500000,20,115254.2373,67,172.7972,15.53,32.8808,62.8808,-89.9978,-96.4464,-6.4486,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,37,544,47.38084404508326,5.619155954916749,848.6625,1228196.0166,11752043127,250000000.0,30,35,16,0.53,2500000,3500000,4500000,20,115254.2373,67,172.417,16.53,31.7292,61.7292,-89.9978,-92.2178,-2.22,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,26,545,55.89773750568812,8.102262494311873,1085.599,2551305.2088,12572634586,250000000.0,30,34,4,0.53,2500000,3500000,4500000,20,115254.2373,67,175.1419,4.53,32.2542,62.2542,-89.9978,-83.4177,6.5801,1.713601,428.4003,20563.212,60964789.8924,high
Starlink,4425,510000000,29,540,53.74076686014363,7.259233139856377,999.4634,2048679.8616,10933552610,250000000.0,30,34,6,0.53,2500000,3500000,4500000,20,115254.2373,67,173.2106,6.53,31.5354,61.5354,-89.9978,-84.2052,5.7926,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,39,545,45.72247366018539,5.277526339814614,819.3798,1083496.1645,11437079415,250000000.0,30,34,15,0.53,2500000,3500000,4500000,20,115254.2373,67,171.876,15.53,31.7746,61.7746,-89.9978,-91.6314,-1.6336,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,29,547,53.661879681301706,7.338120318698287,1011.2878,2093387.2143,12288367519,250000000.0,30,32,3,0.53,2500000,3500000,4500000,20,115254.2373,67,174.3274,3.53,32.804,62.804,-89.9978,-83.0534,6.9444,1.713601,428.4003,20563.212,60964789.8924,high
Starlink,4425,510000000,40,549,44.85633349711911,5.14366650288089,810.6957,1029265.8077,10753478345,250000000.0,30,31,15,0.53,2500000,3500000,4500000,20,115254.2373,67,171.2481,15.53,31.819,61.819,-89.9978,-93.9591,-3.9613,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,34,542,49.82737075346825,6.172629246531756,897.5094,1481814.821,12608428987,250000000.0,30,27,5,0.53,2500000,3500000,4500000,20,115254.2373,67,173.514,5.53,33.3342,63.3342,-89.9978,-88.7098,1.288,0.889135,222.2837,10669.62,31632748.7796,baseline
Starlink,4425,510000000,30,543,52.94712229531352,7.05287770468648,981.2611,1934006.2974,12138816864,250000000.0,30,29,13,0.53,2500000,3500000,4500000,20,115254.2373,67,173.9592,13.53,32.5973,62.5973,-89.9978,-95.8919,-5.8941,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,31,551,52.092589178917706,6.907410821082294,972.1765,1855146.2125,11451337291,250000000.0,30,28,8,0.53,2500000,3500000,4500000,20,115254.2373,67,173.372,8.53,31.9006,61.9006,-89.9978,-92.0014,-2.0036,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,34,540,49.84699489475501,6.1530051052450005,894.4085,1472416.8126,12605964641,250000000.0,30,35,15,0.53,2500000,3500000,4500000,20,115254.2373,67,173.4822,15.53,32.759,62.759,-89.9978,-91.2532,-1.2554,0.567805,141.9512,6813.66,20200791.3696,low
Starlink,4425,510000000,31,550,52.10321111798439,6.896788882015613,970.5486,1849451.9461,11270994050,250000000.0,30,28,2,0.53,2500000,3500000,4500000,20,115254.2373,67,173.2196,2.53,31.5044,61.5044,-89.9978,-86.2452,3.7526,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,38,548,46.52391715555882,5.47608284444118,838.7573,1166495.414,12578895207,250000000.0,30,30,4,0.53,2500000,3500000,4500000,20,115254.2373,67,172.9056,4.53,33.0981,63.0981,-89.9978,-84.3375,5.6603,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,27,551,55.100104974179146,7.899895025820854,1068.8369,2425650.0798,12469283467,250000000.0,30,32,10,0.53,2500000,3500000,4500000,20,115254.2373,67,174.9351,10.53,32.5628,62.5628,-89.9978,-90.9023,-0.9045,0.567805,141.9512,6813.66,20200791.3696,low
Starlink,4425,510000000,31,545,52.156404902459755,6.843595097540245,962.4036,1821066.7315,12050426915,250000000.0,30,34,11,0.53,2500000,3500000,4500000,20,115254.2373,67,173.7272,11.53,32.4347,62.4347,-89.9978,-88.8225,1.1753,0.889135,222.2837,10669.62,31632748.7796,baseline
Starlink,4425,510000000,33,547,50.57212474476605,6.427875255233943,924.4039,1606767.228,11568784395,250000000.0,30,32,13,0.53,2500000,3500000,4500000,20,115254.2373,67,173.023,13.53,32.3224,62.3224,-89.9978,-92.2306,-2.2328,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,39,546,45.713987987683694,5.286012012316306,820.812,1086980.7734,12532397101,250000000.0,30,34,4,0.53,2500000,3500000,4500000,20,115254.2373,67,172.6856,4.53,32.9777,62.9777,-89.9978,-80.2379,9.7599,2.370043,592.5108,28440.516,84319026.9264,high
Starlink,4425,510000000,36,550,48.14113000579967,5.858869994200333,874.1467,1335127.9798,12420342645,250000000.0,30,29,15,0.53,2500000,3500000,4500000,20,115254.2373,67,173.1544,15.53,32.933,62.933,-89.9978,-96.7514,-6.7536,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,34,540,49.84699489475501,6.1530051052450005,894.4085,1472416.8126,10735042244,250000000.0,30,32,4,0.53,2500000,3500000,4500000,20,115254.2373,67,172.0868,4.53,31.6875,61.6875,-89.9978,-82.9293,7.0685,1.896173,474.0433,22754.076,67460153.9364,high
Starlink,4425,510000000,36,548,48.159599827005316,5.840400172994691,871.149,1326730.6665,11306281978,250000000.0,30,30,7,0.53,2500000,3500000,4500000,20,115254.2373,67,172.3082,7.53,31.6502,61.6502,-89.9978,-88.188,1.8098,0.889135,222.2837,10669.62,31632748.7796,baseline
Starlink,4425,510000000,26,547,55.87330669488193,8.126693305118067,1089.165,2566688.5018,11172180834,250000000.0,30,33,8,0.53,2500000,3500000,4500000,20,115254.2373,67,174.1446,8.53,31.8481,61.8481,-89.9978,-87.8265,2.1713,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,25,546,56.59916512638264,8.400834873617356,1116.1536,2742460.3259,11542842331,250000000.0,30,32,8,0.53,2500000,3500000,4500000,20,115254.2373,67,174.6407,8.53,32.0793,62.0793,-89.9978,-89.0914,0.9064,0.889135,222.2837,10669.62,31632748.7796,baseline
Starlink,4425,510000000,35,551,48.93914785160398,6.060852148396023,893.1139,1428683.4282,12568836230,250000000.0,30,27,3,0.53,2500000,3500000,4500000,20,115254.2373,67,173.444,3.53,32.8664,62.8664,-89.9978,-87.1076,2.8902,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,35,545,48.99618178639023,6.003818213609776,883.9743,1401945.991,11990978769,250000000.0,30,29,5,0.53,2500000,3500000,4500000,20,115254.2373,67,172.9459,5.53,32.5029,62.5029,-89.9978,-86.973,3.0248,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,30,544,52.936160342904245,7.063839657095755,982.9205,1940015.2147,10766869907,250000000.0,30,28,14,0.53,2500000,3500000,4500000,20,115254.2373,67,172.9322,14.53,31.3797,61.3797,-89.9978,-98.0825,-8.0847,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,26,544,55.90996397947314,8.090036020526867,1083.8151,2543623.8661,11012478141,250000000.0,30,34,16,0.53,2500000,3500000,4500000,20,115254.2373,67,173.9768,16.53,31.8901,61.8901,-89.9978,-94.6167,-4.6189,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,30,548,52.89237188687541,7.107628113124591,989.5539,1964110.9677,11459748778,250000000.0,30,32,18,0.53,2500000,3500000,4500000,20,115254.2373,67,173.5323,18.53,31.9434,61.9434,-89.9978,-98.1189,-8.1211,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,28,542,54.468079394227885,7.531920605772115,1027.3128,2205258.9743,11629640451,250000000.0,30,27,7,0.53,2500000,3500000,4500000,20,115254.2373,67,173.9854,7.53,32.2744,62.2744,-89.9978,-92.241,-2.2432,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,38,542,46.57633637031889,5.423663629681101,830.0328,1144286.5956,12653165580,250000000.0,30,35,14,0.53,2500000,3500000,4500000,20,115254.2373,67,172.8659,14.53,33.3437,63.3437,-89.9978,-89.0522,0.9456,0.889135,222.2837,10669.62,31632748.7796,baseline
Starlink,4425,510000000,26,548,55.861102339770255,8.138897660229745,1090.9472,2574390.4212,11055393616,250000000.0,30,30,3,0.53,2500000,3500000,4500000,20,115254.2373,67,174.0676,3.53,31.7684,61.7684,-89.9978,-85.8292,4.1686,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,36,540,48.23365268999389,5.766347310006111,859.1474,1293327.8449,12495234553,250000000.0,30,31,3,0.53,2500000,3500000,4500000,20,115254.2373,67,173.0562,3.53,32.6225,62.6225,-89.9978,-82.9637,7.0341,1.896173,474.0433,22754.076,67460153.9364,high
Starlink,4425,510000000,38,551,46.4977605195092,5.5022394804908,843.1164,1177657.0266,10866947969,250000000.0,30,30,17,0.53,2500000,3500000,4500000,20,115254.2373,67,171.6799,17.53,31.1295,61.1295,-89.9978,-98.0804,-8.0826,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,39,545,45.72247366018539,5.277526339814614,819.3798,1083496.1645,12369273682,250000000.0,30,27,7,0.53,2500000,3500000,4500000,20,115254.2373,67,172.5566,7.53,33.0163,63.0163,-89.9978,-90.0703,-0.0725,0.567805,141.9512,6813.66,20200791.3696,low
Starlink,4425,510000000,38,541,46.58508667666788,5.414913323332115,828.5779,1140600.0346,11028855544,250000000.0,30,28,14,0.53,2500000,3500000,4500000,20,115254.2373,67,171.6573,14.53,32.1498,62.1498,-89.9978,-96.0375,-6.0397,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,32,540,51.430438617223885,6.569561382776115,933.3011,1678303.6091,10929409916,250000000.0,30,31,11,0.53,2500000,3500000,4500000,20,115254.2373,67,172.6124,11.53,31.6171,61.6171,-89.9978,-91.5253,-1.5275,0.567805,141.9512,6813.66,20200791.3696,low
Starlink,4425,510000000,36,540,48.23365268999389,5.766347310006111,859.1474,1293327.8449,12490249852,250000000.0,30,30,11,0.53,2500000,3500000,4500000,20,115254.2373,67,173.0528,11.53,32.1476,62.1476,-89.9978,-92.4352,-2.4374,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,37,541,47.40784918329635,5.592150816703651,844.2309,1216428.5439,12189084467,250000000.0,30,28,18,0.53,2500000,3500000,4500000,20,115254.2373,67,172.6886,18.53,32.6792,62.6792,-89.9978,-100.5394,-10.5416,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,28,546,54.421756024373245,7.578243975626748,1034.1918,2232428.6026,11939016909,250000000.0,30,30,11,0.53,2500000,3500000,4500000,20,115254.2373,67,174.2714,11.53,32.1797,62.1797,-89.9978,-93.6217,-3.6239,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,25,542,56.649424490653615,8.350575509346385,1108.8825,2709801.9861,10860774331,250000000.0,30,27,2,0.53,2500000,3500000,4500000,20,115254.2373,67,174.0549,2.53,31.6946,61.6946,-89.9978,-87.8903,2.1075,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,35,545,48.99618178639023,6.003818213609776,883.9743,1401945.991,12490795017,250000000.0,30,27,13,0.53,2500000,3500000,4500000,20,115254.2373,67,173.3006,13.53,32.5355,62.5355,-89.9978,-97.2951,-7.2973,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,30,546,52.914254256715566,7.085745743284434,986.2381,1952051.098,10740497914,250000000.0,30,29,11,0.53,2500000,3500000,4500000,20,115254.2373,67,172.9401,11.53,31.9191,61.9191,-89.9978,-93.551,-3.5532,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,32,542,51.409677022262,6.590322977737998,936.5083,1688916.4433,12646050757,250000000.0,30,33,15,0.53,2500000,3500000,4500000,20,115254.2373,67,173.9093,15.53,33.2504,63.2504,-89.9978,-93.1889,-3.1911,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,25,551,56.53651619402573,8.463483805974278,1125.2288,2783441.7691,10969184523,250000000.0,30,28,2,0.53,2500000,3500000,4500000,20,115254.2373,67,174.2683,2.53,31.9783,61.9783,-89.9978,-86.82,3.1778,1.088581,272.1452,13062.972,38728439.1216,baseline
