constellation,number_of_satellites,total_area_earth_km_sq,coverage_area_per_sat_sqkm,altitude_km,altitude_scenario,dl_frequency_Hz,dl_bandwidth_Hz,speed_of_light,antenna_diameter_m,antenna_efficiency,power_dBw,receiver_gain_dB,receiver_gain_scenario,earth_atmospheric_losses_dB,atmospheric_loss_scenario,all_other_losses_dB,number_of_channels,cnr_scenario,polarization,subscribers_low,subscribers_baseline,subscribers_high,fuel_mass_kg,fuel_mass_1_kg,fuel_mass_2_kg,fuel_mass_3_kg,satellite_manufacturing,satellite_launch_cost,satellite_launch_scenario,ground_station_cost,ground_station_scenario,spectrum_cost,regulation_fees,digital_infrastructure_cost,ground_station_energy,subscriber_acquisition,staff_costs,research_development,maintenance_costs,discount_rate,assessment_period_year,opex_costs,opex_scenario,capex_costs,capex_scenario
Starlink,4425,510000000,115254.2372881356,540,Low,13500000000.0,500000000.0,300000000.0,0.6,0.6,30,25,Low,7,Low,0.53,8,High(>13.5 dB),2,2500000,3500000,4500000,488370,0,0,0,250000,186328000,Low,39088000.0,Low,125000000,720000,3550000,3250000,50000000,290000000,60000000,23000000,5,5,379800000,Low,401386000.0,Low
Starlink,4425,510000000,115254.2372881356,540,Low,13500000000.0,500000000.0,300000000.0,0.6,0.6,30,25,Low,7,Low,0.53,8,High(>13.5 dB),2,2500000,3500000,4500000,488370,0,0,0,250000,186328000,Low,39088000.0,Low,125000000,720000,3550000,3250000,50000000,300000000,60000000,23000000,5,5,389800000,Low,401386000.0,Low
Starlink,4425,510000000,115254.2372881356,540,Low,13500000000.0,500000000.0,300000000.0,0.6,0.6,30,25,Low,7,Low,0.53,8,High(>13.5 dB),2,2500000,3500000,4500000,488370,0,0,0,250000,186328000,Low,39088000.0,Low,125000000,720000,3550000,3250000,50000000,310000000,60000000,23000000,5,5,399800000,Low,401386000.0,Low
Starlink,4425,510000000,115254.2372881356,540,Low,13500000000.0,500000000.0,300000000.0,0.6,0.6,30,25,Low,7,Low,0.53,8,High(>13.5 dB),2,2500000,3500000,4500000,488370,0,0,0,250000,186328000,Low,39088000.0,Low,125000000,720000,3550000,3250000,50000000,290000000,60000000,26000000,5,5,382800000,Baseline,401386000.0,Low
Starlink,4425,510000000,115254.2372881356,540,Low,13500000000.0,500000000.0,300000000.0,0.6,0.6,30,25,Low,7,Low,0.53,8,High(>13.5 dB),2,2500000,3500000,4500000,488370,0,0,0,250000,186328000,Low,39088000.0,Low,125000000,720000,3550000,3250000,50000000,300000000,60000000,26000000,5,5,392800000,Baseline,401386000.0,Low
Starlink,4425,510000000,115254.2372881356,540,Low,13500000000.0,500000000.0,300000000.0,0.6,0.6,30,25,Low,7,Low,0.53,8,High(>13.5 dB),2,2500000,3500000,4500000,488370,0,0,0,250000,186328000,Low,39088000.0,Low,125000000,720000,3550000,3250000,50000000,310000000,60000000,26000000,5,5,402800000,Baseline,401386000.0,Low
Starlink,4425,510000000,115254.2372881356,540,Low,13500000000.0,500000000.0,300000000.0,0.6,0.6,30,25,Low,7,Low,0.53,8,High(>13.5 dB),2,2500000,3500000,4500000,488370,0,0,0,250000,186328000,Low,39088000.0,Low,125000000,720000,3550000,3250000,50000000,290000000,60000000,29000000,5,5,385800000,High,401386000.0,Low
Starlink,4425,510000000,115254.2372881356,540,Low,13500000000.0,500000000.0,300000000.0,0.6,0.6,30,25,Low,7,Low,0.53,8,High(>13.5 dB),2,2500000,3500000,4500000,488370,0,0,0,250000,186328000,Low,39088000.0,Low,125000000,720000,3550000,3250000,50000000,300000000,60000000,29000000,5,5,395800000,High,401386000.0,Low
Starlink,4425,510000000,115254.2372881356,540,Low,13500000000.0,500000000.0,300000000.0,0.6,0.6,30,25,Low,7,Low,0.53,8,High(>13.5 dB),2,2500000,3500000,4500000,488370,0,0,0,250000,186328000,Low,39088000.0,Low,125000000,720000,3550000,3250000,50000000,310000000,60000000,29000000,5,5,405800000,High,401386000.0,Low
Starlink,4425,510000000,115254.2372881356,540,Low,13500000000.0,500000000.0,300000000.0,0.6,0.6,30,25,Low,7,Low,0.53,8,High(>13.5 dB),2,2500000,3500000,4500000,488370,0,0,0,250000,186328000,High,48860000.0,High,125000000,720000,3550000,3250000,50000000,290000000,60000000,23000000,5,5,379800000,Low,411158000.0,High
