constellation,number_of_satellites,constellation_capacity_mbps,satellite_coverage_area_km,capacity_per_user,subscribers,monthly_gb,user_per_area,cnr_scenario,subscriber_scenario
Starlink,4425,15470345.3724,115254.2373,30.9406907448,2500000,417.6993250548,0.007316359378819571,low,subscribers_low
Starlink,4425,15470345.3724,115254.2373,30.9406907448,2500000,417.6993250548,0.007316359378819571,low,subscribers_low
Starlink,4425,15470345.3724,115254.2373,30.9406907448,2500000,417.6993250548,0.007316359378819571,low,subscribers_low
Starlink,4425,20200791.3696,115254.2373,40.4015827392,2500000,545.4213669792,0.007316359378819571,low,subscribers_low
Starlink,4425,15470345.3724,115254.2373,30.9406907448,2500000,417.6993250548,0.007316359378819571,low,subscribers_low
Starlink,4425,38728439.1216,115254.2373,77.45687824320001,2500000,1045.6678562832003,0.007316359378819571,baseline,subscribers_low
Starlink,4425,15470345.3724,115254.2373,30.9406907448,2500000,417.6993250548,0.007316359378819571,low,subscribers_low
Starlink,4425,15470345.3724,115254.2373,30.9406907448,2500000,417.6993250548,0.007316359378819571,low,subscribers_low
Starlink,4425,15470345.3724,115254.2373,30.9406907448,2500000,417.6993250548,0.007316359378819571,low,subscribers_low
Starlink,4425,15470345.3724,115254.2373,30.9406907448,2500000,417.6993250548,0.007316359378819571,low,subscribers_low
Starlink,4425,38728439.1216,115254.2373,77.45687824320001,2500000,1045.6678562832003,0.007316359378819571,baseline,subscribers_low
Starlink,4425,38728439.1216,115254.2373,77.45687824320001,2500000,1045.6678562832003,0.007316359378819571,baseline,subscribers_low
Starlink,4425,15470345.3724,115254.2373,30.9406907448,2500000,417.6993250548,0.007316359378819571,low,subscribers_low
Starlink,4425,20200791.3696,115254.2373,40.4015827392,2500000,545.4213669792,0.007316359378819571,low,subscribers_low
Starlink,4425,15470345.3724,115254.2373,30.9406907448,2500000,417.6993250548,0.007316359378819571,low,subscribers_low
Starlink,4425,15470345.3724,115254.2373,30.9406907448,2500000,417.6993250548,0.007316359378819571,low,subscribers_low
