constellation,number_of_satellites,capex_costs,opex_costs,total_cost_ownership,assessment_period_year,subscribers,capex_per_user,opex_per_user,tco_per_user,tco_per_user_annualized,user_monthly_cost,subscriber_scenario
Starlink,4425,2684507250,2203589021.3892,4888096271.3892,5,2500000,1073.8029,881.4356085556801,1955.23850855568,391.047701711136,32.587308475928,subscribers_low
Starlink,4425,2049317100,1418116875.562624,3467433975.562624,5,2500000,819.72684,567.2467502250496,1386.9735902250495,277.3947180450099,23.116226503750827,subscribers_low
Starlink,4425,1998089175,2465271563.4237895,4463360738.423789,5,2500000,799.23567,986.1086253695158,1785.3442953695155,357.0688590739031,29.75573825615859,subscribers_low
Starlink,4425,2790161025,1226437211.5759463,4016598236.5759463,5,2500000,1116.06441,490.5748846303785,1606.6392946303786,321.3278589260757,26.777321577172977,subscribers_low
Starlink,4425,2160351750,1609425039.2745264,3769776789.2745266,5,2500000,864.1407,643.7700157098105,1507.9107157098106,301.5821431419621,25.131845261830176,subscribers_low
Starlink,4425,1941765975,1680441823.779863,3622207798.7798634,5,2500000,776.70639,672.1767295119453,1448.8831195119453,289.7766239023891,24.148051991865756,subscribers_low
Starlink,4425,2812088250,1639060532.8572364,4451148782.857237,5,2500000,1124.8353,655.6242131428945,1780.4595131428948,356.09190262857896,29.674325219048246,subscribers_low
Starlink,4425,2472415575,2438678842.1440563,4911094417.144056,5,2500000,988.96623,975.4715368576225,1964.4377668576226,392.8875533715245,32.74062944762704,subscribers_low
Starlink,4425,2264536875,1314928385.7449057,3579465260.7449055,5,2500000,905.81475,525.9713542979623,1431.786104297962,286.3572208595924,23.863101738299367,subscribers_low
Starlink,4425,2412129075,2515729783.8499,4927858858.8499,5,2500000,964.85163,1006.2919135399599,1971.14354353996,394.22870870799204,32.85239239233267,subscribers_low
Starlink,4425,2731909200,1634299009.123582,4366208209.123582,5,2500000,1092.76368,653.7196036494328,1746.4832836494327,349.29665672988654,29.108054727490543,subscribers_low
Starlink,4425,2696905650,1397697956.4176908,4094603606.417691,5,2500000,1078.76226,559.0791825670763,1637.8414425670765,327.56828851341527,27.29735737611794,subscribers_low
Starlink,4425,1995283950,2017709799.0849752,4012993749.0849752,5,2500000,798.11358,807.0839196339901,1605.19749963399,321.039499926798,26.7532916605665,subscribers_low
Starlink,4425,2640777750,1541406812.757124,4182184562.757124,5,2500000,1056.3111,616.5627251028495,1672.8738251028497,334.57476502056994,27.881230418380827,subscribers_low
Starlink,4425,2318711175,1766273602.1014917,4084984777.101491,5,2500000,927.48447,706.5094408405967,1633.9939108405963,326.79878216811926,27.233231847343273,subscribers_low
Starlink,4425,2832219300,1450998563.272639,4283217863.2726393,5,2500000,1132.88772,580.3994253090556,1713.2871453090556,342.6574290618111,28.554785755150927,subscribers_low
Starlink,4425,1978570125,1649823423.7744665,3628393548.7744665,5,2500000,791.42805,659.9293695097866,1451.3574195097865,290.2714839019573,24.189290325163107,subscribers_low
Starlink,4425,2417997000,1873461140.2725468,4291458140.272547,5,2500000,967.1988,749.3844561090187,1716.5832561090187,343.31665122180374,28.609720935150314,subscribers_low
Starlink,4425,2337702300,2354847224.1447287,4692549524.144729,5,2500000,935.08092,941.9388896578914,1877.0198096578915,375.4039619315783,31.283663494298192,subscribers_low
Starlink,4425,2417780250,2166377805.476321,4584158055.476321,5,2500000,967.1121,866.5511221905285,1833.6632221905286,366.7326444381057,30.561053703175478,subscribers_low
Starlink,4425,2253481425,2445970663.6466084,4699452088.646608,5,2500000,901.39257,978.3882654586433,1879.7808354586434,375.9561670917287,31.32968059097739,subscribers_low
Starlink,4425,2202095625,2364661964.126846,4566757589.126845,5,2500000,880.83825,945.8647856507383,1826.7030356507382,365.34060713014765,30.44505059417897,subscribers_low
Starlink,4425,2526447825,1596903464.5297627,4123351289.5297623,5,2500000,1010.57913,638.7613858119051,1649.3405158119049,329.868103162381,27.48900859686508,subscribers_low
Starlink,4425,2777839500,1897123537.8610177,4674963037.861017,5,2500000,1111.1358,758.8494151444071,1869.985215144407,373.9970430288814,31.166420252406784,subscribers_low
Starlink,4425,2773803525,1426561046.36101,4200364571.36101,5,2500000,1109.52141,570.6244185444041,1680.1458285444041,336.02916570888084,28.00243047574007,subscribers_low
Starlink,4425,2225018475,2355776900.5332413,4580795375.533241,5,2500000,890.00739,942.3107602132965,1832.3181502132966,366.4636300426593,30.538635836888275,subscribers_low
Starlink,4425,2210999625,1515554885.2596784,3726554510.259679,5,2500000,884.39985,606.2219541038713,1490.6218041038715,298.1243608207743,24.843696735064523,subscribers_low
Starlink,4425,2072782650,1424129487.1686502,3496912137.16865,5,2500000,829.11306,569.65179486746,1398.7648548674601,279.75297097349204,23.312747581124334,subscribers_low
Starlink,4425,2773826025,2547215811.9150085,5321041836.915009,5,2500000,1109.53041,1018.8863247660034,2128.4167347660036,425.6833469532007,35.47361224610006,subscribers_low
Starlink,4425,2550975300,1362720625.119589,3913695925.11959,5,2500000,1020.39012,545.0882500478357,1565.4783700478358,313.0956740095672,26.09130616746393,subscribers_low
Starlink,4425,2257298625,2437125027.9205656,4694423652.920566,5,2500000,902.91945,974.8500111682263,1877.7694611682261,375.55389223364523,31.296157686137104,subscribers_low
Starlink,4425,2402400750,1980728350.20002,4383129100.20002,5,2500000,960.9603,792.291340080008,1753.251640080008,350.6503280160016,29.22086066800013,subscribers_low
Starlink,4425,2058009225,2170585149.8456926,4228594374.8456926,5,2500000,823.20369,868.234059938277,1691.437749938277,338.2875499876554,28.19062916563795,subscribers_low
Starlink,4425,2170868625,1927900575.0382369,4098769200.0382366,5,2500000,868.34745,771.1602300152947,1639.5076800152947,327.90153600305894,27.32512800025491,subscribers_low
