constellation,no_of_launches,climate_change_baseline_kg,climate_change_worst_case_kg,ozone_depletion_baseline_kg,ozone_depletion_worst_case_kg,resource_depletion_kg,freshwater_toxicity_m3,human_toxicity,subscribers,annual_baseline_emission_kg,annual_worst_case_emission_kg,baseline_social_carbon_cost_usd,worst_case_social_carbon_cost_usd,annual_baseline_scc_per_subscriber_usd,annual_worst_case_scc_per_subscriber_usd,subscriber_scenario,impact_category,scenario,rocket_type,rocket_detailed
starlink,127,80069199.17040001,3394577785.38,868321.86,3907448.37,0,0,0,2500000,16013839.834080001,678915557.076,14812801.846524002,627996890.2953,1.18502414772192,50.239751223624005,subscribers_low,launch_event,scenario1,hydrocarbon,falcon9
oneweb,14,4041171.5344000002,168440120.66,44199.96,194211.5,0,0,0,500000,808234.30688,33688024.132,747616.7338640001,31161422.3221,0.29904669354560004,12.46456892884,subscribers_low,launch_event,scenario1,hydrocarbon,soyuz
oneweb,5,3152330.676,133644794.7,34185.9,153836.55000000002,0,0,0,500000,630466.1352,26728958.94,583181.17506,24724287.0195,0.233272470024,9.889714807799999,subscribers_low,launch_event,scenario1,hydrocarbon,falcon9
oneweb,2,935633.6,215286686.4,173457.2,422167.2,0,0,0,500000,187126.72,43057337.28,173092.216,39828036.984,0.06923688639999999,15.931214793599999,subscribers_low,launch_event,scenario1,hydrogen,lvm3_hydrogen
kuiper,18,8420702.4,1937580177.6000001,1561114.8,3799504.8000000003,0,0,0,1500000,1684140.48,387516035.52000004,1557829.9440000001,358452332.856,0.20771065920000004,47.793644380799996,subscribers_low,launch_event,scenario1,hydrogen,ariane_6_hydrogen
kuiper,27,12408136.8048,523265347.61999995,134923.32,602634.0599999999,0,0,0,1500000,2481627.36096,104653069.52399999,2295505.308888,96804089.3097,0.3060673745184,12.90721190796,subscribers_low,launch_event,scenario1,hydrocarbon,glenn_hydrocarbon
kuiper,38,17463303.6512,736447526.28,189892.08,848151.6399999999,0,0,0,1500000,3492660.73024,147289505.25599998,3230711.175472,136242792.3618,0.43076149006293335,18.165705648239996,subscribers_low,launch_event,scenario1,hydrocarbon,vulcan_hydrocarbon
kuiper,3,1891398.4056000002,80186876.82000001,20511.54,92301.93000000001,0,0,0,1500000,378279.68112,16037375.364000002,349908.70503600006,14834572.211700002,0.046654494004800005,1.9779429615600004,subscribers_low,launch_event,scenario1,hydrocarbon,falcon9
kuiper,2,919121.2448,38760396.12,9994.32,44639.56,0,0,0,1500000,183824.24896,7752079.223999999,170037.430288,7170673.282199999,0.022671657371733333,0.9560897709599999,subscribers_low,launch_event,scenario1,hydrocarbon,unknown_hydrocarbon
kuiper,2,935633.6,215286686.4,173457.2,422167.2,0,0,0,1500000,187126.72,43057337.28,173092.216,39828036.984,0.02307896213333333,5.3104049312,subscribers_low,launch_event,scenario1,hydrogen,unknown_hydrogen
geo_generic,10,4595606.223999999,193801980.6,49971.6,223197.8,0,0,0,1500000,306373.7482666666,12920132.04,850187.1514399998,35853366.411,0.03778609561955555,1.5934829516,subscribers_low,launch_event,scenario1,hydrocarbon,unknown_hydrocarbon
geo_generic,9,4210351.2,968790088.8000001,780557.4,1899752.4000000001,0,0,0,1500000,280690.08,64586005.92,778914.9720000001,179226166.428,0.0346184432,7.9656073968,subscribers_low,launch_event,scenario1,hydrogen,unknown_hydrogen
starlink,127,522418806.189,522418806.189,35.239771278,35.239771278,226483.813986,2572207408.28,192.44412362,2500000,104483761.2378,104483761.2378,96647479.14496501,96647479.14496501,7.7317983315972,7.7317983315972,subscribers_low,launcher_production,scenario1,hydrocarbon,falcon9
oneweb,14,625525781.7199999,625525781.7199999,43.56544822,43.56544822,174627.72040000002,3929855027.0,267.9057766,500000,125105156.34399998,125105156.34399998,115722269.61819997,115722269.61819997,46.28890784727999,46.28890784727999,subscribers_low,launcher_production,scenario1,hydrocarbon,soyuz
oneweb,5,20567669.535,20567669.535,1.38739257,1.38739257,8916.68559,101268008.2,7.5765403,500000,4113533.907,4113533.907,3805018.863975,3805018.863975,1.52200754559,1.52200754559,subscribers_low,launcher_production,scenario1,hydrocarbon,falcon9
oneweb,2,22037510.96,22037510.96,1.491470102,1.491470102,5439.451374,139470074.96,9.170770758,500000,4407502.192,4407502.192,4076939.5276,4076939.5276,1.6307758110400001,1.6307758110400001,subscribers_low,launcher_production,scenario1,hydrogen,lvm3_hydrogen
