constellation,number_of_satellites,total_area_earth_km_sq,coverage_area_per_sat_sqkm,altitude_km,dl_frequency_Hz,dl_bandwidth_Hz,speed_of_light,antenna_diameter_m,antenna_efficiency,power_dBw,receiver_gain_dB,earth_atmospheric_losses_dB,all_other_losses_dB,number_of_channels,polarization,subscriber_scenario,subscribers,distance,satellite_coverage_area_km,path_loss,losses,antenna_gain,eirp,noise,received_power,cnr,spectral_efficiency,channel_capacity,constellation_capacity,capacity_per_single_satellite,capacity_per_area_mbps/sqkm
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,25,7,0.53,8,2,low,2500000,566.0508452,115254.2373,170.1137842,7.53,36.35178524,66.35178524,-89.99782907,-86.29199899,3.705830078,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,25,7,0.53,8,2,baseline,3500000,566.0508452,115254.2373,170.1137842,7.53,36.35178524,66.35178524,-89.99782907,-86.29199899,3.705830078,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,25,7,0.53,8,2,high,4500000,566.0508452,115254.2373,170.1137842,7.53,36.35178524,66.35178524,-89.99782907,-86.29199899,3.705830078,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,25,10,0.53,8,2,low,2500000,566.0508452,115254.2373,170.1137842,10.53,36.35178524,66.35178524,-89.99782907,-89.29199899,0.705830078,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,25,10,0.53,8,2,baseline,3500000,566.0508452,115254.2373,170.1137842,10.53,36.35178524,66.35178524,-89.99782907,-89.29199899,0.705830078,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,25,10,0.53,8,2,high,4500000,566.0508452,115254.2373,170.1137842,10.53,36.35178524,66.35178524,-89.99782907,-89.29199899,0.705830078,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,25,13,0.53,8,2,low,2500000,566.0508452,115254.2373,170.1137842,13.53,36.35178524,66.35178524,-89.99782907,-92.29199899,-2.294169922,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,25,13,0.53,8,2,baseline,3500000,566.0508452,115254.2373,170.1137842,13.53,36.35178524,66.35178524,-89.99782907,-92.29199899,-2.294169922,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,25,13,0.53,8,2,high,4500000,566.0508452,115254.2373,170.1137842,13.53,36.35178524,66.35178524,-89.99782907,-92.29199899,-2.294169922,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,30,7,0.53,8,2,low,2500000,566.0508452,115254.2373,170.1137842,7.53,36.35178524,66.35178524,-89.99782907,-81.29199899,8.705830078,2.524739,1262.3695,44687880.3,20197.912,387.733079
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,30,7,0.53,8,2,baseline,3500000,566.0508452,115254.2373,170.1137842,7.53,36.35178524,66.35178524,-89.99782907,-81.29199899,8.705830078,2.524739,1262.3695,44687880.3,20197.912,387.733079
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,30,7,0.53,8,2,high,4500000,566.0508452,115254.2373,170.1137842,7.53,36.35178524,66.35178524,-89.99782907,-81.29199899,8.705830078,2.524739,1262.3695,44687880.3,20197.912,387.733079
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,30,10,0.53,8,2,low,2500000,566.0508452,115254.2373,170.1137842,10.53,36.35178524,66.35178524,-89.99782907,-84.29199899,5.705830078,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,30,10,0.53,8,2,baseline,3500000,566.0508452,115254.2373,170.1137842,10.53,36.35178524,66.35178524,-89.99782907,-84.29199899,5.705830078,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,30,10,0.53,8,2,high,4500000,566.0508452,115254.2373,170.1137842,10.53,36.35178524,66.35178524,-89.99782907,-84.29199899,5.705830078,1.647211,823.6055,29155634.7,13177.688,252.9680069
Starlink,4425,510000000,115254.2373,540,13500000000,500000000,300000000,0.6,0.6,30,30,13,0.53,8,2,low,2500000,566.0508452,115254.2373,170.1137842,13.53,36.35178524,66.35178524,-89.99782907,-87.29199899,2.705830078,1.647211,823.6055,29155634.7,13177.688,252.9680069
