,constellation,total_emissions_t,emission_per_capacity,emission_per_sqkm,emission_for_every_cost,subscriber_scenario,subscribers,mission_number,mission_total_emissions,mission_emission_per_capacity,mission_emission_per_sqkm,mission_emission_for_every_cost,emission_per_subscriber
0,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,Low,500000,0,0.0,0.0,0.0,0.0,0.480552954432
1,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,Low,500000,1,240276.477216,0.0002495842527198,2.084751787609412,0.0002495842527198,0.480552954432
2,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,Low,500000,2,480552.954432,0.0004991685054396,4.169503575218824,0.0004991685054396,0.480552954432
3,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,Low,500000,3,720829.431648,0.0007412288806709999,6.2542553628282365,0.0007412288806709999,0.480552954432
4,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,Low,500000,4,961105.908864,0.000988305174228,8.339007150437649,0.000988305174228,0.480552954432
5,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,Low,500000,5,1201382.38608,0.001235381467785,10.423758938047062,0.001235381467785,0.480552954432
6,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,Low,500000,6,1441658.863296,0.0014677094139084002,12.508510725656473,0.0014677094139084002,0.480552954432
7,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,Low,500000,7,1681935.340512,0.0017123276495598,14.593262513265884,0.0017123276495598,0.480552954432
8,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,Low,500000,8,1922211.817728,0.0019569458852112,16.678014300875297,0.0019569458852112,0.480552954432
9,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,Low,500000,9,2162488.294944,0.0021069103595427,18.76276608848471,0.0021069103595427,0.480552954432
10,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,Low,500000,10,2402764.77216,0.002341011510603,20.847517876094123,0.002341011510603,0.480552954432
11,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,Low,500000,11,2643041.249376,0.0025751126616633,22.932269663703533,0.0025751126616633,0.480552954432
12,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002318933293111,Low,500000,12,2883317.726592,0.0027827199517332,25.017021451312946,0.0027827199517332,0.480552954432
13,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002318933293111,Low,500000,13,3123594.203808,0.0030146132810443,27.10177323892236,0.0030146132810443,0.480552954432
14,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002318933293111,Low,500000,14,3363870.681024,0.0032465066103554,29.18652502653177,0.0032465066103554,0.480552954432
15,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002297267626765,Low,500000,15,3604147.15824,0.0034459014401475,31.27127681414118,0.0034459014401475,0.480552954432
