constellation,satellite_lifespan,subscribers,subscriber_scenario,total_baseline_carbon_emissions,total_worst_case_carbon_emissions,annual_baseline_emissions_per_subscriber_kg,annual_worst_case_emissions_per_subscriber_kg
geo_generic,15,1500000,subscribers_low,704598361.0399799,1840969134.15998,31.315482712888,81.82085040711021
geo_generic,15,2500000,subscribers_baseline,704598361.0399799,1840969134.15998,18.7892896277328,49.09251024426614
geo_generic,15,3500000,subscribers_high,704598361.0399799,1840969134.15998,13.420921162666284,35.066078745904385
kuiper,5,1500000,subscribers_low,3486323041.4022503,6848679782.48525,464.84307218696665,913.1573043313667
kuiper,5,2500000,subscribers_baseline,3486323041.4022503,6848679782.48525,278.90584331218,547.89438259882
kuiper,5,3500000,subscribers_high,3486323041.4022503,6848679782.48525,199.21845950870002,391.3531304277286
oneweb,5,500000,subscribers_low,984728630.080502,1476555757.171102,393.89145203220085,590.6223028684408
oneweb,5,800000,subscribers_baseline,984728630.080502,1476555757.171102,246.18215752012551,369.1389392927755
oneweb,5,1000000,subscribers_high,984728630.080502,1476555757.171102,196.94572601610042,295.3111514342204
starlink,5,2500000,subscribers_low,3285090342.92657,6157249322.11757,262.8072274341256,492.5799457694055
starlink,5,3500000,subscribers_baseline,3285090342.92657,6157249322.11757,187.71944816723257,351.84281840671827
starlink,5,4500000,subscribers_high,3285090342.92657,6157249322.11757,146.00401524118087,273.6555254274475
