,constellation,signal_path,signal_path_scenario,satellite_coverage_area_km,dl_frequency_Hz,center_frequency,path_loss,earth_atmospheric_losses_dB,atmospheric_loss_scenario,losses,antenna_gain,eirp_dB,noise,received_power_dB,received_power_scenario,cnr,cnr_scenario,spectral_efficiency,channel_capacity,constellation_capacity,capacity_per_single_satellite,capacity_per_area_mbps/sqkm,adoption_rate_scenario,adoption_rate,demand_density_mbps_sqkm,satellite_launch_cost,ground_station_cost,spectrum_cost,regulation_fees,digital_infrastructure_cost,ground_station_energy,subscriber_acquisition,staff_costs,research_development,maintenance_costs,total_cost_ownership,capex_scenario,cost_per_capacity,aluminium_oxide_emissions,sulphur_oxide_emissions,carbon_oxide_emissions,cfc_gases_emissions,particulate_matter_emissions,photochemical_oxidation_emissions,total_emissions_t
0,Starlink,566.0508451738535,Low,115254.2372881356,12000000000.0,12 GHz,169.09073378452942,7,Low,7.53,35.328734791951234,65.32873479195123,-89.99782907027767,-86.29199899257819,Low,3.7058300776994884,High,1.647211,823.6055,58311269.4,13177.688,505.9360139117647,Low,0.01,0.00075,186328000,39088000.0,125000000,720000,3550000,3250000,50000000,7500000,60000000,13000000,962706879.9317157,Low,323272029.48634404,24418.5,341.859,171906.24,6837.18,24525.9414,12246.756816000003,240276.477216
1,Starlink,566.0508451738535,Low,115254.2372881356,12000000000.0,12 GHz,169.09073378452942,7,Low,7.53,35.328734791951234,65.32873479195123,-89.99782907027767,-86.29199899257819,Low,3.7058300776994884,High,1.647211,823.6055,58311269.4,13177.688,505.9360139117647,Baseline,0.5,0.0375,186328000,39088000.0,125000000,720000,3550000,3250000,50000000,7500000,60000000,13000000,962706879.9317157,Low,323272029.48634404,24418.5,341.859,171906.24,6837.18,24525.9414,12246.756816000003,240276.477216
2,Starlink,566.0508451738535,Low,115254.2372881356,12000000000.0,12 GHz,169.09073378452942,7,Low,7.53,35.328734791951234,65.32873479195123,-89.99782907027767,-86.29199899257819,Low,3.7058300776994884,High,1.647211,823.6055,58311269.4,13177.688,505.9360139117647,High,1.0,0.075,186328000,39088000.0,125000000,720000,3550000,3250000,50000000,7500000,60000000,13000000,962706879.9317157,Low,323272029.48634404,24418.5,341.859,171906.24,6837.18,24525.9414,12246.756816000003,240276.477216
3,Starlink,566.0508451738535,Low,115254.2372881356,12000000000.0,12 GHz,169.09073378452942,7,Low,7.53,35.328734791951234,65.32873479195123,-89.99782907027767,-86.29199899257819,Low,3.7058300776994884,High,1.647211,823.6055,58311269.4,13177.688,505.9360139117647,Low,0.01,0.00075,186328000,48860000.0,125000000,720000,3550000,3250000,50000000,7500000,60000000,13000000,972478879.9317157,High,326553416.9345823,24418.5,341.859,171906.24,6837.18,24525.9414,12246.756816000003,240276.477216
4,Starlink,566.0508451738535,Low,115254.2372881356,12000000000.0,12 GHz,169.09073378452942,7,Low,7.53,35.328734791951234,65.32873479195123,-89.99782907027767,-86.29199899257819,Low,3.7058300776994884,High,1.647211,823.6055,58311269.4,13177.688,505.9360139117647,Baseline,0.5,0.0375,186328000,48860000.0,125000000,720000,3550000,3250000,50000000,7500000,60000000,13000000,972478879.9317157,High,326553416.9345823,24418.5,341.859,171906.24,6837.18,24525.9414,12246.756816000003,240276.477216
5,Starlink,566.0508451738535,Low,115254.2372881356,12000000000.0,12 GHz,169.09073378452942,7,Low,7.53,35.328734791951234,65.32873479195123,-89.99782907027767,-86.29199899257819,Low,3.7058300776994884,High,1.647211,823.6055,58311269.4,13177.688,505.9360139117647,High,1.0,0.075,186328000,48860000.0,125000000,720000,3550000,3250000,50000000,7500000,60000000,13000000,972478879.9317157,High,326553416.9345823,24418.5,341.859,171906.24,6837.18,24525.9414,12246.756816000003,240276.477216
6,Starlink,566.0508451738535,Low,115254.2372881356,12000000000.0,12 GHz,169.09073378452942,7,Low,7.53,35.328734791951234,65.32873479195123,-89.99782907027767,-86.29199899257819,Low,3.7058300776994884,High,1.647211,823.6055,58311269.4,13177.688,505.9360139117647,Low,0.01,0.00075,186328000,58632000.0,125000000,720000,3550000,3250000,50000000,7500000,60000000,13000000,982250879.9317157,High,329834804.3828206,24418.5,341.859,171906.24,6837.18,24525.9414,12246.756816000003,240276.477216
7,Starlink,566.0508451738535,Low,115254.2372881356,12000000000.0,12 GHz,169.09073378452942,7,Low,7.53,35.328734791951234,65.32873479195123,-89.99782907027767,-86.29199899257819,Low,3.7058300776994884,High,1.647211,823.6055,58311269.4,13177.688,505.9360139117647,Baseline,0.5,0.0375,186328000,58632000.0,125000000,720000,3550000,3250000,50000000,7500000,60000000,13000000,982250879.9317157,High,329834804.3828206,24418.5,341.859,171906.24,6837.18,24525.9414,12246.756816000003,240276.477216
8,Starlink,566.0508451738535,Low,115254.2372881356,12000000000.0,12 GHz,169.09073378452942,7,Low,7.53,35.328734791951234,65.32873479195123,-89.99782907027767,-86.29199899257819,Low,3.7058300776994884,High,1.647211,823.6055,58311269.4,13177.688,505.9360139117647,High,1.0,0.075,186328000,58632000.0,125000000,720000,3550000,3250000,50000000,7500000,60000000,13000000,982250879.9317157,High,329834804.3828206,24418.5,341.859,171906.24,6837.18,24525.9414,12246.756816000003,240276.477216
9,Starlink,566.0508451738535,Low,115254.2372881356,12000000000.0,12 GHz,169.09073378452942,7,Low,7.53,35.328734791951234,65.32873479195123,-89.99782907027767,-86.29199899257819,Low,3.7058300776994884,High,1.647211,823.6055,58311269.4,13177.688,505.9360139117647,Low,0.01,0.00075,250000000,39088000.0,125000000,720000,3550000,3250000,50000000,7500000,60000000,13000000,1026378879.9317157,High,344652760.30953544,24418.5,341.859,171906.24,6837.18,24525.9414,12246.756816000003,240276.477216
