,Entity,Code,Year,yearly_launches,Decade,Region
0,Algeria,DZA,2002,1,2000 - 2010,Africa
1,Algeria,DZA,2010,1,2010 - 2022,Africa
2,Algeria,DZA,2016,3,2010 - 2022,Africa
3,Algeria,DZA,2017,1,2010 - 2022,Africa
4,Angola,AGO,2017,1,2010 - 2022,Africa
5,Angola,AGO,2022,1,2010 - 2022,Africa
6,Arabsat,,1985,2,1980 - 1990,Asia
7,Arabsat,,1992,1,1990 - 2000,Asia
8,Arabsat,,1996,2,1990 - 2000,Asia
9,Arabsat,,1999,1,1990 - 2000,Asia
10,Arabsat,,2006,2,2000 - 2010,Asia
11,Arabsat,,2008,1,2000 - 2010,Asia
12,Arabsat,,2010,2,2010 - 2022,Asia
13,Arabsat,,2011,1,2010 - 2022,Asia
14,Arabsat,,2015,1,2010 - 2022,Asia
15,Arabsat,,2019,1,2010 - 2022,Asia
16,Argentina,ARG,1990,1,1990 - 2000,Americas
17,Argentina,ARG,1996,3,1990 - 2000,Americas
18,Argentina,ARG,1997,1,1990 - 2000,Americas
19,Argentina,ARG,1998,1,1990 - 2000,Americas
20,Argentina,ARG,2000,2,2000 - 2010,Americas
21,Argentina,ARG,2002,2,2000 - 2010,Americas
22,Argentina,ARG,2007,1,2000 - 2010,Americas
23,Argentina,ARG,2011,1,2010 - 2022,Americas
24,Argentina,ARG,2013,2,2010 - 2022,Americas
25,Argentina,ARG,2014,2,2010 - 2022,Americas
26,Argentina,ARG,2015,1,2010 - 2022,Americas
27,Argentina,ARG,2018,1,2010 - 2022,Americas
28,Argentina,ARG,2020,1,2010 - 2022,Americas
29,Argentina,ARG,2021,1,2010 - 2022,Americas
30,Armenia,ARM,2022,1,2010 - 2022,Europe
31,Australia,AUS,1967,1,1958 - 1970,Others
32,Australia,AUS,1970,1,1970 - 1980,Others
33,Australia,AUS,1985,2,1980 - 1990,Others
34,Australia,AUS,1987,1,1980 - 1990,Others
35,Australia,AUS,1990,1,1990 - 2000,Others
36,Australia,AUS,1992,2,1990 - 2000,Others
37,Australia,AUS,1994,1,1990 - 2000,Others
38,Australia,AUS,1998,1,1990 - 2000,Others
39,Australia,AUS,2002,1,2000 - 2010,Others
40,Australia,AUS,2003,1,2000 - 2010,Others
41,Australia,AUS,2006,1,2000 - 2010,Others
42,Australia,AUS,2007,1,2000 - 2010,Others
43,Australia,AUS,2009,1,2000 - 2010,Others
44,Australia,AUS,2014,1,2010 - 2022,Others
45,Australia,AUS,2015,1,2010 - 2022,Others
46,Australia,AUS,2016,1,2010 - 2022,Others
47,Australia,AUS,2017,1,2010 - 2022,Others
48,Australia,AUS,2018,6,2010 - 2022,Others
49,Australia,AUS,2019,1,2010 - 2022,Others
